"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","0","10","50","0","2018","1","",125637,1920931,1936171,1947627,23155846074,9530647196,124391230,921,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2749,2.2,18096,1.0,19651,1.0,19540,1.0,912437278,4.1,210388270,2.3,-9570307,-7.1,28,3.1
"01000","1","10","51","0","2018","1","",1192,52546,52564,52576,1052687804,0,0,1541,"",1.59,1.40,1.41,1.41,1.74,0.00,0.00,1.24,"",-19,-1.6,-815,-1.5,-762,-1.4,-673,-1.3,-44813982,-4.1,0,0.0,0,0.0,-43,-2.7
"01000","2","10","51","0","2018","1","",1378,94512,96496,96603,1275698431,46676,2162,1024,"",1.56,1.55,1.55,1.54,1.70,0.00,0.03,1.10,"",-13,-0.9,335,0.4,753,0.8,491,0.5,40793235,3.3,6361,15.8,1924,808.4,28,2.8
"01000","3","10","51","0","2018","1","",3706,212882,213213,214563,2209474209,94722669,833267,796,"",1.72,1.11,1.10,1.10,1.13,0.95,1.20,1.02,"",-3,-0.1,816,0.4,481,0.2,736,0.3,47700102,2.2,2118798,2.3,-51217,-5.8,15,1.9
"01000","5","10","51","0","2018","1","",119361,1560991,1573898,1583885,18617985630,9435877851,123555801,911,"",0.98,0.96,0.96,0.96,0.94,1.00,1.00,0.98,"",2784,2.4,17760,1.2,19179,1.2,18986,1.2,868757923,4.9,208263111,2.3,-9521014,-7.2,33,3.8
"01000","8","10","96","0","2018","1","",6276,359940,362273,363742,4537860444,94769345,835429,964,"",1.66,1.24,1.23,1.23,1.37,0.75,1.10,1.11,"",-35,-0.6,336,0.1,472,0.1,554,0.2,43679355,1.0,2125159,2.3,-49293,-5.6,8,0.8
"01001","0","10","70","0","2018","1","",865,10925,10958,10984,108644111,45951022,606947,763,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,0.5,253,2.4,238,2.2,215,2.0,5196140,5.0,2519447,5.8,-52716,-8.0,21,2.8
"01001","1","10","71","0","2018","1","",12,84,87,90,1018279,0,0,900,"",2.33,0.39,0.41,0.43,0.36,0.00,0.00,0.87,"",0,0.0,-3,-3.4,5,6.1,4,4.7,23802,2.4,0,0.0,0,0.0,0,0.0
"01001","2","10","71","0","2018","1","",18,602,589,582,6504322,0,0,847,"",2.95,1.73,1.67,1.65,1.84,0.00,0.00,1.10,"",-1,-5.3,10,1.7,0,0.0,-2,-0.3,2399,0.0,0,0.0,0,0.0,-3,-0.4
"01001","3","10","71","0","2018","1","",32,1894,1898,1895,17749694,122216,721,720,"",2.16,1.74,1.73,1.72,1.93,0.25,0.21,1.12,"",0,0.0,-12,-0.6,-3,-0.2,-17,-0.9,19271,0.1,10195,9.1,60,9.1,5,0.7
